cfg_index,plaquette,w11,w22,creutz_22
0,0.45782685566464637,0.4535200018550893,0.31028602162354546,0.013243185129729789
1,0.41678099233176885,0.4190949811255954,0.2873353876317415,0.012536273734164723
2,0.37035014813164874,0.3752031572344226,0.2618912224614549,0.031748277692562096
3,0.3315060990214404,0.333740511712908,0.23739722763875692,0.05224801661103884
4,0.29770664397558627,0.3018144360862468,0.21744526032994965,-0.022463375536959155
5,0.26042546375907566,0.26257458183366755,0.20646457630867007,-0.015890656759724765
6,0.2180353447719643,0.21787891033283407,0.18241126312365233,0.002797213502760508
7,0.1808406733709936,0.17312363311116613,0.15476103875355623,0.14250511075657118
8,0.14218327643377202,0.13188584756857313,0.13808580109278748,0.20450149865099643
9,0.10809597580954133,0.09192949352876142,0.1279221990745858,0.34333770125192326
10,0.07033142933976774,0.059821817329087666,0.10827135110550212,0.6268519944149337
11,0.03655352283670956,0.017071262305417268,0.10682543609297651,1.4570189312889454
12,0.0031591290805693026,-0.027346407305263918,0.08130643373100467,0.683030364379067
13,-0.025681522370624404,-0.0546860111423061,0.060191611689420776,0.2282432991733542
14,-0.056842563854673955,-0.0796884982865332,0.04455035689494891,-0.1142772829619577
15,-0.0866244911983929,-0.11325579722770862,0.033459143587316845,-0.16653246645891423
16,-0.10930787232868518,-0.1342936283381978,0.027169180366695873,0.20770931123020941
17,-0.13366133990057127,-0.1566414959662802,0.02569734250341751,-0.03984714312925282
18,-0.15604597528577824,-0.18302591971044752,0.015771977291424842,0.4561994405028012
19,-0.16874235309938931,-0.19337074885896383,0.011533409434869702,0.8344848974850563
20,-0.18136173100815456,-0.20302206484176763,-0.008805854137844446,1.1193602445142938
21,-0.19739302340787052,-0.22944895768722523,-0.006232053763385589,1.3523752976547327
22,-0.2054115622014232,-0.2368471175375746,-0.0064077565181261285,1.133953684786457
23,-0.21780730256148412,-0.23751856240689095,-0.008285560690443339,0.7313515913666055
24,-0.22453750430856775,-0.24377898114092222,-0.006528833165070152,1.0103915773994143
25,-0.2306474347884064,-0.25774236203387346,0.00995146955171978,0.7812936528417199
26,-0.23103477952234713,-0.25416612815567474,0.018457389429998736,0.24027103096091057
27,-0.23367850379468094,-0.25549699658168123,0.02369851066108161,-0.07418999349709902
28,-0.233330699371089,-0.2505097762995902,0.019752800328744408,-0.1359418574992241
29,-0.23283967723225954,-0.2544232028598818,0.0063917552291799596,1.2739227695499051
